6R,6R,6R,6R,6R,4Z;1,2,2,0,3,1;0.1,1.6,3.4,4.1,5.5,2.3
6R,6R,6R,6R,6Z,4O;2,2,0,3,1,0;1.6,3.4,4.1,5.5,1.3,0.1
6R,6R,6R,6R,5Fm,5Fm;1,2,0,3,2,0;0.1,1.6,4.1,5.5,2.3,3.5
6R,6R,6R,6R,5Ym,5Ym;1,2,0,3,3,1;0.1,1.6,4.1,5.5,2.3,4.2
6R,6R,6R,6R,5N,5P;1,2,2,3,0,0;0.1,1.6,3.4,5.5,2.3,4.1
6R,6R,6R,6R,5N,5Pm;1,2,0,0,0,0;0.1,1.6,2.3,4.1,3.5,5.5
6R,6R,6R,6R,5W,5Pm;1,0,0,3,0,3;0.1,2.3,4.1,5.5,3.5,1.6
6R,6R,6R,6R,5Zm,5Zm;1,2,0,3,2,2;0.1,1.6,4.1,5.5,2.3,3.2
6R,6R,6R,6R,5P,5P;2,2,0,3,1,2;1.6,3.4,4.1,5.5,0.1,2.2
6R,6R,6R,6Z,5P,5P;1,0,3,1,2,0;0.1,4.1,5.5,2.5,1.6,2.3
6R,6R,6R,6A,5P,5Pm;1,2,3,3,2,1;0.1,1.6,5.5,2.3,3.4,5.0
6R,6R,6R,6O,5P,5P;2,0,3,0,1,2;1.6,4.1,5.5,2.2,0.1,3.4
6R,6R,6R,4T,4T,4Z,4O;1,2,3,0,2,1,0;0.1,1.6,5.5,2.3,4.1,3.5,5.0
6R,6R,6R,4T,4T,4Lm,4O;1,2,3,3,2,0,0;0.1,1.6,5.5,3.2,4.3,2.3,5.0
6R,6R,6R,4T,4T,4O,4O;2,2,3,3,3,0,0;1.6,3.4,5.5,1.3,3.2,0.1,5.0
6R,6R,6R,4Z,4Z,4Zm,4O;2,0,3,1,1,0,0;1.6,4.1,5.5,1.3,3.5,3.3,0.1
6R,6R,6R,4Z,4L,4L,4O;1,2,0,1,2,2,0;0.1,1.6,4.1,2.3,3.4,4.3,6.5
6R,6R,6R,4Z,4Lm,4Lm,4O;2,0,3,1,2,2,0;1.6,4.1,5.5,1.3,3.3,4.2,0.1
6R,6R,6T,4Z,4L,4O,4O;1,0,3,1,2,0,0;0.1,4.1,2.5,2.3,4.3,1.6,6.5
6R,6R,6T,4Z,4Lm,4O,4O;0,3,0,1,2,0,0;4.1,5.5,2.5,1.3,4.2,0.1,1.6
6R,6R,6Zm,4T,4T,4O,4O;1,3,1,1,3,0,0;0.1,5.5,2.3,2.5,3.2,1.6,5.0
