6R,6R,5P,5P,4T,4T,4T,4T;2,0,3,1,3,3,1,1;2.5,3.2,0.0,6.5,0.7,1.3,4.4,5.0
6R,6R,5P,5P,4T,4T,4T,4O;2,2,2,1,2,3,1,0;2.5,3.2,5.0,6.5,0.0,0.7,4.4,1.2
6R,6R,5P,5P,4T,4T,4O,4O;0,2,0,2,2,0,0,0;2.5,3.2,0.7,5.0,0.0,6.6,1.2,5.4
6R,6R,5P,5Pm,4T,4T,4T,4T;2,0,1,2,2,3,1,1;2.5,3.2,6.5,1.2,0.0,0.7,4.4,5.0
6R,6R,5P,5Pm,4T,4T,4T,4O;2,2,2,0,2,3,0,0;2.5,3.2,5.0,4.4,0.0,0.7,6.6,1.2
6R,6R,5Pm,5Pm,4T,4T,4T,4T;2,0,2,0,2,3,1,0;2.5,3.2,1.2,4.4,0.0,0.7,5.0,6.6
6R,6T,5P,5P,4T,4T,4T,4L;2,1,2,1,2,3,1,2;2.5,2.2,5.0,6.5,0.0,0.7,4.4,1.2
6R,6T,5P,5P,4T,4T,4T,4O;0,0,0,1,2,1,1,0;3.2,2.5,0.7,6.5,0.0,4.4,5.0,1.2
6R,6T,5P,5P,4T,4T,4L,4O;2,3,0,2,2,0,0,0;3.2,2.5,0.7,5.0,0.0,6.6,4.4,1.2
6R,6T,5P,5Pm,4T,4T,4T,4L;2,1,2,0,2,3,0,2;2.5,2.2,5.0,4.4,0.0,0.7,6.6,1.2
6R,6T,5P,5Pm,4T,4T,4T,4O;2,2,2,2,2,3,0,0;2.5,3.2,5.0,1.2,0.0,0.7,6.6,5.4
6R,6Z,6Z,6Z,5W,5Lm,4T;2,0,1,0,3,2,3;2.5,0.0,4.1,6.4,3.3,2.2,0.7
6R,6Z,6Z,6A,5Nm,5Lm,4T;2,0,1,0,0,2,3;2.5,0.0,4.1,5.5,3.3,2.2,0.7
6R,6Z,6Z,6A,5W,5Zm,4T;2,0,0,1,3,1,3;2.5,0.0,6.4,5.0,3.3,2.2,0.7
6R,6Z,6Z,4T,4T,4Z,4L,4I;2,1,0,2,3,0,2,1;2.5,4.1,6.4,0.0,0.7,4.3,1.2,2.2
6R,6Z,6Z,4T,4T,4Z,4Lm,4O;2,1,0,2,3,0,1,0;2.5,4.1,6.4,0.0,0.7,4.3,3.2,1.2
6R,6Z,6Z,4T,4T,4Z,4O,4O;0,0,0,3,1,0,0,0;3.2,0.0,6.4,0.7,5.0,2.2,2.5,4.4
6R,6Z,6Z,4T,4T,4L,4O,4O;0,1,0,2,1,3,0,0;3.2,0.7,6.4,0.0,5.0,2.5,1.2,4.4
6R,6Z,6Z,4T,4T,4L,4O,4I;3,1,0,2,3,2,0,1;3.4,4.1,6.4,0.0,0.7,1.2,2.5,2.2
6R,6Z,6Z,4T,4T,4Lm,4O,4O;3,1,0,2,3,1,0,0;3.4,4.1,6.4,0.0,0.7,3.2,1.2,2.5
6R,6Z,6Z,4T,4T,4O,4O,4O;3,0,0,3,1,0,0,0;3.4,0.0,6.4,0.7,5.0,2.2,2.5,4.1
6R,6Z,6A,6A,5Nm,5Zm,4T;2,0,1,0,0,1,3;2.5,0.0,5.0,5.5,3.3,2.2,0.7
6R,6Z,6A,4T,4T,4Z,4Zm,4O;2,0,1,2,3,0,0,0;2.5,6.4,5.0,0.0,0.7,4.3,3.2,1.2
6R,6Z,6A,4T,4T,4Z,4L,4Lm;2,0,1,2,3,0,2,3;2.5,6.4,5.0,0.0,0.7,4.3,1.2,2.2
6R,6Z,6A,4T,4T,4Z,4Lm,4O;0,0,0,3,1,0,1,0;3.2,0.0,5.5,0.7,5.0,2.2,4.4,2.5
6R,6Z,6A,4T,4T,4Zm,4O,4O;3,0,1,2,3,0,0,0;3.4,6.4,5.0,0.0,0.7,3.2,1.2,2.5
6R,6Z,6A,4T,4T,4L,4L,4I;2,1,0,2,3,2,2,1;2.5,4.1,5.5,0.0,0.7,1.2,4.3,2.2
6R,6Z,6A,4T,4T,4L,4Lm,4O;3,0,1,2,3,2,3,0;3.4,6.4,5.0,0.0,0.7,1.2,2.2,2.5
6R,6Z,6A,4T,4T,4L,4O,4O;0,0,2,3,1,0,0,0;3.2,6.4,0.0,0.7,5.0,1.3,2.5,4.4
6R,6Z,6A,4T,4T,4Lm,4O,4O;3,0,2,3,1,3,0,0;3.4,6.4,0.0,0.7,5.0,1.3,2.5,4.1
6R,6Z,6A,4T,4T,4O,4O,4I;0,0,3,2,1,0,0,2;3.2,6.4,0.7,0.0,5.0,1.2,4.4,3.3
