5Fm,5Fm,5L,5L;0,2,1,3;2.5,3.2,2.1,4.5
5Fm,5Fm,5V,5V;3,1,2,0;2.1,3.4,2.3,3.1
5Fm,5T,5Y,5L;0,1,3,3;2.5,3.1,2.1,4.5
5Fm,5Y,5C,5Pm;2,1,0,2;3.2,4.4,2.1,2.4
5Fm,5Ym,5Ym,5V;0,2,3,1;2.4,2.5,4.2,2.1
5Fm,5Ym,5Lm,5C;0,1,0,3;3.4,2.1,2.5,3.1
5Fm,5Ym,5L,5C;1,2,0,0;3.3,2.5,2.1,2.2
5Fm,5Lm,5Lm,5Pm;3,3,0,0;3.2,2.1,2.5,3.1
5Fm,5Lm,5L,5Pm;0,0,0,1;3.4,2.5,2.1,2.2
5Fm,5Lm,5V,5C;1,2,2,3;3.4,2.1,2.3,3.2
5Fm,5L,5L,5Pm;3,2,3,0;2.2,2.4,4.4,2.1
5Fm,5L,5V,5C;2,2,3,0;3.2,2.4,3.4,2.1
5Fm,5L,5C,5P;2,3,0,2;3.2,4.5,2.1,2.4
5Fm,5V,5P,5P;3,0,3,3;2.1,3.1,2.3,4.3
5Fm,5C,5I,5Pm;1,3,2,2;2.3,2.1,5.1,2.4
5F,5F,5Lm,5Lm;0,2,3,1;2.1,3.4,2.2,4.1
5F,5F,5V,5V;1,3,1,3;2.4,3.2,2.1,3.5
5F,5T,5Ym,5Lm;2,1,3,3;3.4,2.1,4.2,2.2
5F,5Y,5Y,5V;2,3,0,0;3.3,2.1,2.5,3.1
5F,5Y,5Lm,5C;3,2,0,0;3.3,2.1,2.5,2.2
5F,5Y,5L,5C;1,0,3,3;2.3,2.5,4.4,2.1
5F,5Ym,5C,5P;2,3,0,2;3.4,4.2,2.3,2.1
5F,5Lm,5Lm,5P;1,2,1,0;2.3,2.1,4.2,2.5
5F,5Lm,5L,5P;2,2,2,1;2.3,2.1,2.4,4.2
5F,5Lm,5V,5C;2,2,0,0;3.4,2.1,3.2,2.3
5F,5Lm,5C,5Pm;2,1,0,2;3.4,4.1,2.3,2.1
5F,5L,5L,5P;1,0,1,0;3.3,2.1,2.2,3.5
5F,5L,5V,5C;1,0,3,3;2.4,2.1,3.5,2.2
5F,5V,5Pm,5Pm;1,3,1,1;2.4,3.5,2.1,4.1
5F,5C,5I,5P;1,3,2,0;2.3,2.1,5.1,2.5
5T,5T,5Y,5Y;3,1,3,1;2.5,3.1,2.1,4.4
5T,5T,5Ym,5Ym;1,3,1,3;2.1,3.5,2.2,4.2
5T,5Y,5Ym,5C;0,2,2,0;3.3,2.1,2.5,2.2
5T,5Y,5N,5V;3,3,1,0;2.5,2.1,4.2,3.1
5T,5Y,5Lm,5I;3,3,1,2;3.5,3.1,4.1,2.1
5T,5Y,5L,5Pm;0,2,1,2;3.3,2.1,2.2,3.4
5T,5Y,5P,5Pm;1,1,3,2;3.1,4.4,2.1,2.4
5T,5Ym,5Nm,5V;3,3,1,1;3.5,4.2,2.4,2.1
5T,5Ym,5Lm,5P;2,0,1,0;2.2,2.1,4.2,2.5
5T,5Ym,5L,5I;3,3,1,2;3.5,4.2,3.1,2.1
5T,5Ym,5P,5Pm;3,3,2,1;3.5,4.2,2.1,2.3
5T,5W,5V,5P;2,2,3,2;2.3,3.3,3.5,2.1
5T,5W,5V,5Pm;2,3,0,2;2.1,3.3,3.1,2.4
5T,5Lm,5V,5P;2,0,0,0;2.1,2.5,3.1,2.4
