5,5,5,5,11,11;1,1,1,1,3,1;1.2,1.3,3.4,3.5,1.6,4.1;1
5,5,6,6,11,11;1,1,0,0,3,1;3.4,3.5,1.2,3.2,1.6,4.1;0
5,5,7,7,11,11;1,1,1,3,3,1;3.4,3.5,1.2,2.3,1.6,4.1;0
5,5,8,8,11,11;1,1,0,2,3,1;1.2,3.5,1.3,4.3,1.6,4.1;1
5,5,11,30,31;1,1,3,0,1;3.4,3.5,1.6,1.2,4.1;0
5,6,7,7,11,11;2,0,2,3,3,1;3.2,1.2,4.2,4.5,1.6,4.1;0
5,6,8,8,11,11;1,0,0,3,3,1;1.2,5.4,1.3,3.5,1.6,4.1;0
5,6,11,30,31;2,0,3,0,1;3.2,1.2,1.6,4.4,4.1;0
5,11,12,25,33;1,3,2,0,1;3.5,1.6,1.2,3.4,3.2;0
5,11,13,19,31;1,3,2,2,1;3.5,1.6,1.2,3.3,4.1;0
5,11,13,25,30;1,3,2,0,0;3.5,1.6,4.1,3.4,1.2;0
6,6,6,6,11,11;0,0,0,0,3,1;1.2,3.2,3.4,5.4,1.6,4.1;1
6,6,6,33,33;0,0,0,1,1;1.2,3.3,5.4,1.6,3.2;1
6,6,7,7,11,11;0,0,1,3,3,1;3.4,5.4,1.2,2.3,1.6,4.1;0
6,6,7,31,33;0,0,0,3,1;1.2,5.4,3.3,1.6,3.2;0
6,6,8,8,11,11;0,0,2,0,3,1;3.4,5.4,1.2,2.2,1.6,4.1;0
6,6,11,30,31;0,0,3,0,1;3.4,5.4,1.6,1.2,4.1;0
6,6,11,30,33;0,0,3,1,1;1.2,5.4,1.6,3.3,3.2;0
6,6,13,13,33;0,0,0,0,1;1.2,3.3,1.6,4.5,3.2;0
6,6,13,23,31;0,0,0,1,1;1.2,5.4,1.6,3.2,4.1;0
6,7,9,31,33;0,1,1,1,1;5.4,1.2,2.3,4.1,1.6;0
6,7,12,13,33;0,3,2,0,1;1.2,4.5,3.3,1.6,3.2;0
6,7,13,13,31;0,3,0,2,2;1.2,4.5,1.6,4.1,3.2;0
6,7,13,18,31;0,3,0,2,1;1.2,4.5,1.6,3.2,4.1;0
6,7,13,21,31;0,3,2,1,3;1.2,4.5,4.1,3.2,1.6;0
6,8,11,30,33;0,1,3,0,1;1.2,3.3,1.6,4.4,3.2;0
6,9,11,33,38;0,1,3,1,3;1.2,3.3,1.6,3.2,3.4;0
6,10,13,13,31;0,0,2,0,3;1.2,3.2,4.1,4.5,1.6;0
6,11,12,12,33;0,3,2,3,1;5.4,1.6,1.2,3.4,3.2;0
6,11,12,13,30;0,3,3,2,0;5.4,1.6,3.4,4.1,1.2;0
6,11,12,13,33;0,2,0,2,1;1.2,3.2,4.4,4.1,1.6;0
6,11,12,15,33;0,3,0,0,1;1.2,1.6,4.4,3.3,3.2;0
6,11,12,20,31;0,3,0,3,1;1.2,1.6,4.4,3.2,4.1;0
6,11,12,20,33;0,3,2,0,1;1.2,1.6,3.3,3.5,3.2;0
6,11,13,13,30;0,2,0,2,0;1.2,3.2,1.6,4.1,4.4;0
6,11,13,13,31;0,3,2,3,1;5.4,1.6,1.2,3.3,4.1;0
6,11,13,13,32;0,3,2,0,2;1.2,1.6,4.1,4.5,3.2;0
6,11,13,20,31;0,3,2,0,2;1.2,1.6,4.1,3.5,3.2;0
6,11,13,21,38;0,3,2,1,3;1.2,1.6,4.1,3.2,3.4;0
6,11,13,24,31;0,3,0,1,1;1.2,1.6,4.5,3.2,4.1;0
6,11,13,25,30;0,3,2,3,0;1.2,1.6,4.1,3.2,4.4;0
6,11,16,18,33;0,3,1,2,1;1.2,1.6,4.3,3.3,3.2;0
6,11,18,20,31;0,3,2,0,1;1.2,1.6,3.2,3.5,4.1;0
6,11,19,22,33;0,3,2,0,1;1.2,1.6,3.4,3.3,3.2;0
6,13,13,13,13;0,0,3,2,0;1.2,1.6,3.2,4.1,4.5;0
7,7,7,7,11,11;1,3,1,3,3,1;1.2,2.3,3.4,4.5,1.6,4.1;1
7,7,8,8,11,11;1,3,2,0,3,1;3.4,4.5,1.2,2.2,1.6,4.1;0
7,7,11,30,31;1,3,3,0,1;3.4,4.5,1.6,1.2,4.1;0
7,7,13,13,34;1,3,0,2,1;1.2,4.5,1.6,4.1,2.3;1
7,7,13,22,31;1,3,0,0,1;1.2,4.5,1.6,2.3,4.1;0
7,8,13,13,31;1,0,2,0,3;1.2,2.3,4.1,4.5,1.6;0
7,9,13,13,31;1,1,0,0,1;1.2,2.3,1.6,4.5,4.1;0
7,11,11,30,38;0,3,1,0,1;2.3,1.6,4.1,4.4,1.2;0
7,11,12,13,31;2,3,0,2,1;3.3,1.6,4.4,1.2,4.1;0
7,11,12,13,33;3,3,2,0,1;4.5,3.4,1.2,1.6,3.2;0
7,11,12,17,31;1,3,0,2,1;1.2,1.6,4.4,2.3,4.1;0
7,11,12,28,33;3,3,2,1,1;4.5,1.6,1.2,3.4,3.2;0
7,11,13,13,30;3,3,0,2,0;4.5,3.4,1.6,4.1,1.2;0
7,11,13,20,34;1,3,2,0,1;1.2,1.6,4.1,3.5,2.3;0
7,11,13,22,38;1,3,2,2,3;1.2,1.6,4.1,2.3,3.4;0
7,11,13,27,30;1,3,2,1,0;1.2,1.6,4.1,2.3,4.4;0
7,11,13,27,31;3,3,2,2,1;4.5,1.6,1.2,3.3,4.1;0
7,11,13,28,30;3,3,2,1,0;4.5,1.6,4.1,3.4,1.2;0
7,11,13,28,31;1,3,0,0,1;1.2,1.6,4.5,2.3,4.1;0
7,11,20,22,31;1,3,0,0,1;1.2,1.6,3.5,2.3,4.1;0
7,12,13,13,13;3,2,2,0,2;4.5,3.3,1.2,1.6,4.1;0
8,8,8,8,11,11;2,0,2,0,3,1;1.2,2.2,3.4,4.4,1.6,4.1;1
8,8,11,30,31;2,0,3,0,1;3.4,4.4,1.6,1.2,4.1;0
8,11,12,16,33;2,3,2,1,1;3.4,1.6,1.2,4.3,3.2;0
8,11,12,19,33;2,3,2,2,1;4.3,1.6,1.2,3.4,3.2;0
8,11,13,13,30;1,3,2,2,0;3.3,1.6,1.2,4.1,4.4;0
8,11,13,16,30;2,3,2,1,0;3.4,1.6,4.1,4.3,1.2;0
8,11,13,18,31;0,3,2,2,1;4.4,1.6,1.2,3.3,4.1;0
8,11,13,19,30;2,3,2,2,0;4.3,1.6,4.1,3.4,1.2;0
8,11,13,20,31;2,3,2,0,1;3.3,1.6,1.2,3.5,4.1;0
9,11,12,13,33;0,3,2,0,1;3.4,1.6,1.2,4.5,3.2;0
9,11,13,13,30;0,3,2,0,0;3.4,1.6,4.1,4.5,1.2;0
9,11,13,13,38;1,3,2,2,3;3.3,1.6,1.2,4.1,3.4;0
11,11,12,17,38;3,1,2,2,3;1.6,4.1,1.2,3.2,3.4;0
11,11,12,20,33;3,3,2,0,1;1.6,3.4,1.2,3.5,3.2;0
11,11,13,13,31;3,2,2,0,1;1.6,3.3,1.2,4.5,4.1;0
11,11,13,13,34;3,1,2,0,0;1.6,4.1,1.2,4.5,3.3;1
11,11,13,20,30;3,3,2,0,0;1.6,3.4,4.1,3.5,1.2;0
11,11,13,22,30;3,1,0,1,0;1.6,4.1,4.5,3.4,1.2;0
11,11,13,28,38;3,1,2,2,3;1.6,4.1,1.2,3.3,3.4;0
11,11,18,19,30;3,1,0,0,0;1.6,4.1,1.3,1.2,4.4;0
11,11,20,20,34;3,1,2,0,1;1.6,4.1,1.2,3.5,2.3;1
11,11,20,22,38;3,1,0,0,1;1.6,4.1,3.5,2.3,1.2;0
11,11,20,27,30;3,1,0,3,0;1.6,4.1,3.5,3.4,1.2;0
11,12,13,13,13;3,1,2,2,0;1.6,3.3,1.2,4.1,4.5;0
11,12,13,13,15;3,0,2,2,0;1.6,4.4,1.2,4.1,3.3;0
11,12,13,13,20;3,2,2,2,0;1.6,3.3,1.2,4.1,3.5;0
11,13,13,16,18;3,2,2,1,2;1.6,1.2,4.1,4.3,3.3;0
11,13,13,19,22;3,2,2,2,0;1.6,1.2,4.1,3.4,3.3;0
30,30,31,31;0,0,3,1;1.2,4.4,1.6,4.1;1
