28,29,30,30,38;3,3,1,1,3;4.4,1.3,3.0,3.5,2.2;1
16,29,30,39,39;0,0,1,1,0;2.2,3.3,3.5,1.3,4.4;0
16,29,30,30,32;1,3,1,1,2;2.2,1.3,3.0,3.5,5.2;0
17,28,30,39,39;0,2,1,1,0;3.0,2.2,3.5,1.3,4.4;0
17,28,30,30,32;1,1,1,1,2;2.4,1.3,3.0,3.5,5.2;0
24,25,30,39,39;1,1,1,1,0;4.0,2.2,3.5,1.3,4.4;1
24,25,30,30,32;0,0,1,1,2;1.4,1.3,3.0,3.5,5.2;1
23,25,30,35,39;1,1,1,1,1;4.0,2.2,3.5,4.3,1.3;0
21,25,30,32,38;1,2,1,0,2;4.1,3.4,3.5,1.3,3.0;0
19,25,30,31,32;1,2,1,2,0;3.0,3.4,3.5,4.1,1.3;0
16,25,30,32,39;0,1,1,2,1;2.2,3.3,3.5,5.2,1.3;0
14,25,30,32,39;0,1,1,2,1;4.0,2.2,3.5,5.2,1.3;0
13,25,32,37,39;1,3,0,0,3;3.0,4.4,1.3,3.2,4.3;0
12,25,30,32,32;1,2,1,0,3;3.0,3.4,3.5,1.3,3.3;0
22,24,30,35,39;1,1,1,1,0;2.2,4.0,3.5,1.3,4.4;0
21,24,30,32,38;2,0,1,2,0;1.3,1.4,3.5,5.2,3.0;0
20,24,30,31,32;1,0,1,3,2;3.0,1.4,3.5,1.3,5.2;0
17,24,30,32,39;0,1,1,0,0;3.0,3.1,3.5,1.3,4.4;0
14,24,30,32,39;0,1,1,0,0;3.0,4.0,3.5,1.3,4.4;0
13,24,30,32,32;1,0,1,3,2;3.0,1.4,3.5,1.3,5.2;0
12,24,32,37,39;1,3,2,0,2;3.0,2.5,5.2,4.2,1.3;0
22,23,30,35,35;1,1,1,1,1;2.2,4.0,3.5,1.3,4.3;1
14,23,30,32,35;0,1,1,0,1;3.0,4.0,3.5,1.3,4.3;0
12,23,32,35,37;1,3,2,3,0;3.0,2.4,5.2,1.3,4.2;0
14,22,30,32,35;0,1,1,2,1;4.0,2.2,3.5,5.2,1.3;0
13,22,32,35,37;3,1,2,1,0;3.5,2.2,5.2,1.3,4.0;0
21,21,32,38,38;2,3,2,0,0;1.3,1.4,5.2,3.0,3.4;1
20,21,31,32,38;1,3,3,2,0;3.0,1.4,1.3,5.2,3.4;0
19,21,31,32,38;1,0,2,0,2;3.0,4.5,4.1,1.3,3.4;0
13,21,30,32,39;1,3,1,2,1;3.0,2.2,3.5,5.2,1.3;0
13,21,32,32,38;1,3,3,2,0;3.0,1.4,1.3,5.2,3.4;0
12,21,30,32,39;1,0,1,0,0;3.0,3.3,3.5,1.3,4.4;0
12,21,32,32,38;1,0,0,3,2;3.0,4.5,1.3,3.3,3.4;0
20,20,30,32,32;1,3,1,0,2;3.0,3.1,3.5,1.3,5.2;0
19,20,32,32,37;3,1,0,2,0;3.7,3.0,1.3,5.2,3.1;1
19,20,31,31,32;3,1,3,0,2;3.7,3.0,1.3,1.4,5.2;1
12,20,31,32,32;3,1,3,1,2;3.6,3.0,1.3,1.4,5.2;0
19,19,30,32,32;1,3,1,0,2;3.0,3.4,3.5,1.3,5.2;0
13,19,31,32,32;3,1,2,0,1;3.5,3.0,4.1,1.3,3.4;0
16,17,30,32,37;0,0,0,0,0;3.7,3.0,4.3,1.3,3.1;1
16,17,30,31,31;0,0,0,3,0;3.7,3.0,4.3,1.3,1.4;1
14,14,30,32,32;0,0,1,0,2;3.0,4.0,3.5,1.3,5.2;1
13,14,32,32,37;1,0,0,2,0;3.0,4.3,1.3,5.2,3.2;0
12,14,32,32,37;1,0,0,2,0;3.0,3.3,1.3,5.2,4.2;0
13,13,30,32,32;1,3,1,0,2;3.0,3.2,3.5,1.3,5.2;0
13,13,32,32,33;1,3,0,2,0;3.0,3.5,1.3,5.2,3.2;1
12,13,32,32,32;3,1,0,2,2;3.6,3.0,1.3,3.2,5.2;1
12,12,32,32,34;1,3,0,2,0;3.0,3.6,1.3,5.2,3.3;1
12,12,30,32,32;1,3,1,0,2;3.0,3.3,3.5,1.3,5.2;0
