12,13,31,31,38,38;0,0,2,1,0,0;1.1,1.6,5.1,5.4,3.0,3.4;1
12,13,32,37,38,38;0,0,2,0,0,0;1.1,1.6,6.2,5.1,3.0,3.4;1
12,19,31,31,31,38;0,3,3,2,1,0;1.1,3.7,1.6,5.1,5.4,3.0;0
12,19,31,32,37,38;0,3,3,2,0,0;1.1,3.7,1.6,6.2,5.1,3.0;0
12,21,31,32,38,39;0,2,2,1,0,2;1.1,1.6,5.1,4.4,3.0,3.6;0
12,29,31,31,32,38;0,0,3,2,1,0;1.1,3.7,1.6,5.1,4.4,3.0;0
13,20,31,31,31,38;0,1,0,2,1,0;1.6,3.0,1.1,5.1,5.4,3.4;0
13,20,31,32,37,38;0,1,0,2,0,0;1.6,3.0,1.1,6.2,5.1,3.4;0
13,21,31,32,38,39;0,3,1,3,0,1;1.6,1.1,5.4,4.3,3.4,3.0;0
13,28,31,31,32,38;0,0,0,1,3,0;1.6,3.0,1.1,5.4,4.3,3.4;0
19,20,31,31,31,31;3,1,0,3,2,1;3.7,3.0,1.1,1.6,5.1,5.4;1
19,20,31,31,32,37;3,1,0,3,2,0;3.7,3.0,1.1,1.6,6.2,5.1;1
19,21,31,31,32,39;3,3,3,1,3,1;3.7,1.1,1.6,5.4,4.3,3.0;0
19,28,31,31,31,32;3,0,0,3,1,3;3.7,3.0,1.1,1.6,5.4,4.3;0
20,21,31,31,32,39;1,2,0,2,1,2;3.0,1.6,1.1,5.1,4.4,3.6;0
20,29,31,31,31,32;1,0,0,3,2,1;3.0,3.7,1.1,1.6,5.1,4.4;0
21,21,30,32,33,34;3,2,0,2,1,1;3.0,3.7,3.3,6.2,1.6,1.1;1
21,21,31,31,32,32;3,2,0,3,2,2;3.0,3.7,1.1,1.6,4.2,6.2;1
21,21,31,32,33,39;2,3,0,2,0,2;1.6,3.0,1.1,6.2,4.2,3.6;0
21,21,31,32,34,39;2,3,0,2,1,2;1.6,3.0,3.3,6.2,1.1,3.6;0
21,21,32,32,39,39;3,2,3,1,1,2;1.1,1.6,4.3,4.4,3.0,3.6;1
21,28,31,31,32,33;2,0,0,3,2,1;3.7,3.0,1.1,3.4,6.2,1.6;0
21,28,31,31,32,34;2,0,0,3,2,0;3.7,3.0,1.1,1.6,6.2,4.3;0
21,28,31,32,32,39;2,0,0,0,2,2;1.6,3.0,1.1,4.3,6.2,3.6;0
21,28,31,32,33,33;2,3,2,2,1,0;3.7,1.1,3.2,6.2,1.6,4.0;0
21,29,31,31,32,33;3,0,0,3,2,0;3.0,3.7,1.1,1.6,6.2,4.2;0
21,29,31,31,32,34;3,0,3,0,2,1;3.0,3.7,1.6,3.3,6.2,1.1;0
21,29,31,32,32,39;3,0,3,0,2,1;1.1,3.7,1.6,4.3,6.2,3.0;0
21,29,31,32,34,34;3,1,1,2,1,0;3.0,1.6,3.3,6.2,1.1,4.5;0
22,23,30,30,32,38;2,2,1,1,2,0;1.6,1.1,4.1,4.4,6.2,2.2;1
22,23,31,31,37,38;2,2,2,1,0,0;1.6,1.1,5.1,5.4,4.1,2.2;1
22,23,32,37,37,38;2,2,2,0,0,0;1.6,1.1,6.2,4.1,5.1,2.2;1
28,29,30,31,31,32;3,1,0,2,1,2;1.1,1.6,5.3,4.0,4.5,3.2;1
28,29,31,31,32,32;0,0,0,3,0,2;3.0,3.7,1.1,1.6,4.3,6.2;1
28,29,32,32,33,34;3,1,2,2,0,0;1.1,1.6,3.2,6.2,4.0,4.5;1
