5,5,5,5;1,1,1,1;1.2,1.3,3.4,3.5;1
5,5,6,6;1,1,0,0;3.4,3.5,1.2,3.2;0
5,5,7,7;1,1,1,3;3.4,3.5,1.2,2.3;0
5,5,8,8;1,1,0,2;1.2,3.5,1.3,4.3;1
5,6,7,7;2,0,2,3;3.2,1.2,4.2,4.5;0
5,6,8,8;1,0,0,3;1.2,5.4,1.3,3.5;0
6,6,6,6;0,0,0,0;1.2,3.2,3.4,5.4;1
6,6,7,7;0,0,1,3;3.4,5.4,1.2,2.3;0
6,6,8,8;0,0,2,0;3.4,5.4,1.2,2.2;0
7,7,7,7;1,3,1,3;1.2,2.3,3.4,4.5;1
7,7,8,8;1,3,2,0;3.4,4.5,1.2,2.2;0
7,30,38;0,0,1;2.3,4.4,1.2;0
8,8,8,8;2,0,2,0;1.2,2.2,3.4,4.4;1
12,17,38;2,2,3;1.2,3.2,3.4;0
13,13,34;2,0,0;1.2,4.5,3.3;1
13,22,30;0,1,0;4.5,3.4,1.2;0
13,28,38;2,2,3;1.2,3.3,3.4;0
18,19,30;0,0,0;1.3,1.2,4.4;0
20,20,34;2,0,1;1.2,3.5,2.3;1
20,22,38;0,0,1;3.5,2.3,1.2;0
20,27,30;0,3,0;3.5,3.4,1.2;0
