12,13,32;2,2,0;2.4,2.2,4.3;1
12,13,38;2,2,0;2.2,2.4,4.2;1
12,19,38;0,0,3;2.3,2.2,2.4;0
12,20,30;1,0,1;4.2,2.5,2.2;0
12,20,31;0,0,2;3.2,2.5,2.2;0
12,21,38;2,3,1;2.4,3.3,2.2;0
12,25,30;2,1,0;2.4,4.4,2.2;0
12,25,31;2,3,0;3.4,2.2,3.2;0
13,19,30;3,0,1;4.3,2.2,2.3;0
13,19,31;0,0,1;3.5,2.2,2.3;0
13,20,38;0,0,1;2.4,2.5,2.2;0
13,21,38;2,2,3;2.2,3.4,2.4;0
13,24,30;2,3,0;2.2,4.3,2.4;0
13,24,31;2,1,3;3.2,2.2,3.5;0
15,19,39;3,3,2;2.2,4.5,2.4;0
15,20,39;3,3,3;3.2,2.2,3.4;0
18,19,30;1,0,0;2.3,2.2,3.4;0
18,20,30;2,0,0;2.2,2.5,3.2;0
18,27,32;0,2,3;3.2,2.2,2.5;0
19,19,34;0,2,1;2.2,2.4,2.3;1
19,20,30;0,0,0;2.2,2.5,2.3;1
19,21,31;0,3,2;2.2,3.3,2.3;0
20,20,33;2,0,1;2.2,2.5,2.4;1
20,21,31;0,2,1;2.5,3.4,2.2;0
